row_type,uuid,context,requirements,title,description,on_enter,results,interruptions,template,provider
random_event,qingliu_fengying_pingkangfang,trigger_tags=[action:main:jiaoyou]|weight=10|era=747_kuangda|store_to=747_kuangda.jiaoyou,trait_has(name=kuangda_fengying) | prop_gt(name=ambition; val=30) | prop_lt(name=ambition; val=100),平康坊闭门羹,“哟，杜先生又来了。”那个“又”字咬得轻，但很准。楼上的丝竹声灌下来，她侧身挡着门，下巴朝坊墙边的小杌子一抬：“写首艳词，写好了让你进去。”语气像在吩咐一个熟客——一个不用客气的熟客。,,,,,
>option,,,"flag_bool_has(name=__never_unlock; failed_hint=""手已经抬起来了——拂袖的力气都攒到了腕子上.但你不是那种敢翻脸的人.去年韦左丞府上你陪的笑太多,脊梁骨早就软了.手悬在半空,又垂回身侧."")",,转身就走，袖风扫落她掌心那枚铜钱。,,prop_sub(name=health; val=2) | prop_sub(name=fatigue; val=5) | prop_add(name=BURNOUT; val=3) | prop_add(name=fatigue; val=5) | flag_int_append(name=kuangda; val=3) | prop_sub(name=fatigue; val=3) | emo_add(name=ARROGANCE; val=10),,,
>option,,,"flag_bool_has(name=__never_unlock; failed_hint=""手探进袖口——那半贯钱还在,是留着缴屋租的.你不是有资本打点门路的人.逢迎这么多年,只逢迎出了个熟脸,没逢迎出半个靠山.手在袖子里攥了攥,空着抽了出来."")",,从袖中摸出最后半贯铜钱，往她手里塞。,,prop_sub(name=health; val=2) | prop_sub(name=fatigue; val=5) | prop_add(name=BURNOUT; val=3) | prop_add(name=fatigue; val=5) | flag_int_append(name=kuangda; val=-2) | prop_add(name=money; val=5) | prop_sub(name=health; val=2) | emo_add(name=AMBITION; val=10),,,
>option,,,,,走到小杌子边坐下，铺纸、研墨、提笔。,,prop_sub(name=health; val=2) | prop_sub(name=fatigue; val=5) | prop_add(name=BURNOUT; val=3) | prop_add(name=fatigue; val=5) | prop_sub(name=money; val=8) | prop_add(name=DRUNK; val=15) | prop_sub(name=BURNOUT; val=5) | emo_add(name=SORROW; val=8),,,
random_event,qingliu_fengying_pawnshop,trigger_tags=[action:main:fangshi]|weight=10|era=747_kuangda|store_to=747_kuangda.fangshi,trait_has(name=kuangda_fengying) | prop_gt(name=ambition; val=30) | prop_lt(name=ambition; val=100),当铺题诗,西市当铺的柜台被无数人的手肘磨得油亮。掌柜从柜台后面抬起眼皮——他认得你。去年腊月你在这当了一件旧棉袍，开春又来当了一方洮砚。此刻你的字画卷轴尚未完全展开，他那根肥厚的手指已经压在画轴上，只露出半边题款。“你这幅画嘛——”他的目光从画上扫过，像在估一堆旧衣，“比上回那件袍子好点，但也好不到哪去。”他把价压到令人发指的低位，然后推过来一张糙纸和秃笔，“顺便题首诗夸夸我这当铺，我多给你二十文。”纸已经在桌案上铺好，笔尖已经干结。,,,,,
>option,,,"flag_bool_has(name=__never_unlock; failed_hint=""他已经看见自己抓起画卷转身就走的画面.但他不是那样的人——去年腊月那件棉袍,春天那方砚台,每一次弯腰都让他离那个可以拂袖的背影更远.他的手还搁在柜台上,手指都没动."")",,一把抓回字画卷轴，笔和纸扫落在地，转身大步跨出当铺门槛。,,prop_sub(name=money; val=5) | prop_sub(name=fatigue; val=3) | prop_add(name=BURNOUT; val=3) | prop_add(name=fatigue; val=5) | flag_int_append(name=kuangda; val=3) | prop_sub(name=fatigue; val=3) | emo_add(name=ARROGANCE; val=10),,,
>option,,,"flag_bool_has(name=__never_unlock; failed_hint=""他的目光想着往内室扫——也许里面坐着哪位能说上话的账房.但他没有门路,没有靠山.去年冬天他能搬出的全部筹码是一件棉袍,今天他袖中那枚铜钱连门帘缝都撬不开."")",,目光迅速扫向当铺内室门帘，从袖中摸出一枚开元通宝往柜上推去。,,prop_sub(name=money; val=5) | prop_sub(name=fatigue; val=3) | prop_add(name=BURNOUT; val=3) | prop_add(name=fatigue; val=5) | flag_int_append(name=kuangda; val=-2) | prop_add(name=money; val=5) | prop_sub(name=health; val=2) | emo_add(name=AMBITION; val=10),,,
>option,,,,,沉默片晌，提起那支秃笔，在糙纸上落下一行。,,prop_sub(name=money; val=5) | prop_sub(name=fatigue; val=3) | prop_add(name=BURNOUT; val=3) | prop_add(name=fatigue; val=5) | prop_add(name=money; val=5) | prop_add(name=fatigue; val=8) | emo_add(name=SORROW; val=10),,,
random_event,qingliu_fengying_muddy_carriage,trigger_tags=[action:main:baiye]|weight=10|era=747_kuangda|store_to=747_kuangda.baiye,trait_has(name=kuangda_fengying) | prop_gt(name=ambition; val=30) | prop_lt(name=ambition; val=100),鞋入臭水,腊月里的泥泞又黑又稠，像煮过头的药渣。李相的车驾刚拐过街角，惊马前蹄一扬，那只锦缎绣鞋从轿帘里飞出来，划过一道弧，正落进路边尺许深的臭水沟。门子认得你——他冲你点了点头，像对隔三差五来串门的街坊。周围官员的目光齐刷刷落在你身上，不是看你这个诗人，是看这个“老熟人”。,,,,,
>option,,,"flag_bool_has(name=__never_unlock; failed_hint=""他想甩袖就走——但他不是那种人.七天来门子对他点头的次数比对他爹娘还多.他不是那种不计后果的人.他的手在袖口里攥紧,靴跟钉在原地."")",,拂袖转身，靴跟在冻硬的泥地上磕出脆响。,,prop_sub(name=health; val=5) | prop_sub(name=fatigue; val=5) | prop_add(name=BURNOUT; val=3) | prop_add(name=fatigue; val=5) | flag_int_append(name=kuangda; val=3) | prop_sub(name=fatigue; val=3) | emo_add(name=ARROGANCE; val=10),,,
